ID;Date;Production Biomethane Totale (MWh - 0°C PCS);Zone concernée
2020-09-28-1;2020-09-28;5642.234491;GRTgaz
2020-10-12-1;2020-10-12;6110.872553;GRTgaz
2020-10-17-1;2020-10-17;6428.76823;GRTgaz
2020-11-03-1;2020-11-03;6373.400523;GRTgaz
2020-11-15-1;2020-11-15;6842.879067;GRTgaz
2020-11-17-1;2020-11-17;6841.919674;GRTgaz
2020-11-24-1;2020-11-24;7190.298524;GRTgaz
2020-11-27-1;2020-11-27;7475.425142;GRTgaz
2020-11-28-1;2020-11-28;7259.690519;GRTgaz
2020-12-06-1;2020-12-06;7360.941195;GRTgaz
2020-12-10-1;2020-12-10;7480.308599;GRTgaz
2020-12-15-1;2020-12-15;7802.246550999999;GRTgaz
2020-12-20-1;2020-12-20;7962.275248;GRTgaz
2021-01-05-1;2021-01-05;7847.247855;GRTgaz
2021-01-07-1;2021-01-07;8067.240549;GRTgaz
2021-01-09-1;2021-01-09;7687.012787000001;GRTgaz
2021-01-13-1;2021-01-13;8168.867814;GRTgaz
2021-01-16-1;2021-01-16;8016.421642;GRTgaz
2021-01-23-1;2021-01-23;8196.954131;GRTgaz
2021-01-25-1;2021-01-25;7836.978568;GRTgaz
2021-02-11-1;2021-02-11;7373.044866;GRTgaz
2021-02-13-1;2021-02-13;7528.304759000001;GRTgaz
2021-02-20-1;2021-02-20;8266.302445;GRTgaz
2021-02-22-1;2021-02-22;8454.513452;GRTgaz
2021-02-27-1;2021-02-27;8379.932311;GRTgaz
2021-03-09-1;2021-03-09;8822.613459;GRTgaz
2021-03-10-1;2021-03-10;9152.755883;GRTgaz
2021-03-14-1;2021-03-14;8854.115422;GRTgaz
2021-03-16-1;2021-03-16;9125.899551;GRTgaz
2021-03-23-1;2021-03-23;8931.266185;GRTgaz
2021-04-02-1;2021-04-02;9275.399744;GRTgaz
2021-04-04-1;2021-04-04;9211.692318;GRTgaz
2021-04-06-1;2021-04-06;8942.658507;GRTgaz
2021-04-09-1;2021-04-09;9445.62961;GRTgaz
2021-04-17-1;2021-04-17;9447.956273;GRTgaz
2021-04-18-1;2021-04-18;9174.503421000001;GRTgaz
2021-04-23-1;2021-04-23;9450.189755000001;GRTgaz
2021-04-30-1;2021-04-30;9125.938198;GRTgaz
2021-05-04-1;2021-05-04;9594.96371;GRTgaz
2021-05-08-1;2021-05-08;9777.163201;GRTgaz
2021-05-19-1;2021-05-19;9432.514975;GRTgaz
2021-05-22-1;2021-05-22;9891.792159;GRTgaz
2021-05-24-1;2021-05-24;9635.509828;GRTgaz
2021-05-26-1;2021-05-26;9570.151695999999;GRTgaz
2021-05-29-1;2021-05-29;9612.121009;GRTgaz
2021-06-05-1;2021-06-05;9850.993332999999;GRTgaz
2021-06-14-1;2021-06-14;10280.312218;GRTgaz
2021-06-17-1;2021-06-17;10429.978184;GRTgaz
2021-06-18-1;2021-06-18;10660.931585999999;GRTgaz
2021-06-29-1;2021-06-29;10415.583254;GRTgaz
2021-07-01-1;2021-07-01;10715.374614;GRTgaz
2021-07-05-1;2021-07-05;10839.629323000001;GRTgaz
2021-07-15-1;2021-07-15;10900.52295;GRTgaz
2021-07-19-1;2021-07-19;10703.928815;GRTgaz
2021-07-25-1;2021-07-25;10228.086655;GRTgaz
2021-07-26-1;2021-07-26;10794.181678;GRTgaz
2021-07-29-1;2021-07-29;11051.638509999999;GRTgaz
2021-08-01-1;2021-08-01;10554.882556;GRTgaz
2019-05-31-1;2019-05-31;2896.2039999999997;GRTgaz
2021-08-07-1;2021-08-07;10937.971931;GRTgaz
2019-06-09-1;2019-06-09;2866.172;GRTgaz
2021-08-20-1;2021-08-20;11507.32132;GRTgaz
2019-06-27-1;2019-06-27;2565.1839999999997;GRTgaz
2021-08-21-1;2021-08-21;10772.494369;GRTgaz
2019-06-28-1;2019-06-28;2690.5469999999996;GRTgaz
2021-08-30-1;2021-08-30;11080.190980000001;GRTgaz
2019-07-01-1;2019-07-01;2647.558;GRTgaz
2021-09-03-1;2021-09-03;11725.386433;GRTgaz
2019-07-10-1;2019-07-10;2854.098;GRTgaz
2021-09-05-1;2021-09-05;11015.952202;GRTgaz
2019-07-15-1;2019-07-15;2824.5829999999996;GRTgaz
2021-09-13-1;2021-09-13;11632.314505;GRTgaz
2019-07-24-1;2019-07-24;2685.464;GRTgaz
2021-09-21-1;2021-09-21;11651.936717;GRTgaz
2019-08-11-1;2019-08-11;2879.035;GRTgaz
2021-09-22-1;2021-09-22;11812.352814;GRTgaz
2019-08-24-1;2019-08-24;3167.472;GRTgaz
2021-09-23-1;2021-09-23;12116.858696;GRTgaz
2019-08-28-1;2019-08-28;3231.533;GRTgaz
2021-09-25-1;2021-09-25;11986.981968;GRTgaz
2019-08-31-1;2019-08-31;3074.6369999999997;GRTgaz
2021-10-02-1;2021-10-02;11926.969544000001;GRTgaz
2019-09-01-1;2019-09-01;3070.089;GRTgaz
2021-10-21-1;2021-10-21;11971.641696;GRTgaz
2019-09-20-1;2019-09-20;3578.66;GRTgaz
2021-10-23-1;2021-10-23;12736.992893;GRTgaz
2019-09-24-1;2019-09-24;3483.809;GRTgaz
2021-10-26-1;2021-10-26;12345.22226;GRTgaz
2019-09-27-1;2019-09-27;3659.026;GRTgaz
2021-11-25-1;2021-11-25;13542.685078;GRTgaz
2019-10-07-1;2019-10-07;3542.16;GRTgaz
2021-11-30-1;2021-11-30;13422.757919;GRTgaz
2019-10-16-1;2019-10-16;3595.647;GRTgaz
2021-12-10-1;2021-12-10;13933.207768;GRTgaz
2019-10-19-1;2019-10-19;3760.3689999999997;GRTgaz
2021-12-11-1;2021-12-11;14106.599241;GRTgaz
2019-11-01-1;2019-11-01;3818.449;GRTgaz
2021-12-14-1;2021-12-14;13850.588143;GRTgaz
2019-11-04-1;2019-11-04;3310.4790000000003;GRTgaz
2021-12-15-1;2021-12-15;13981.912052;GRTgaz
2019-11-19-1;2019-11-19;3567.6510000000003;GRTgaz
2021-12-16-1;2021-12-16;14217.2078;GRTgaz
2019-11-23-1;2019-11-23;3907.509;GRTgaz
2021-12-17-1;2021-12-17;14486.542346999999;GRTgaz
2019-11-28-1;2019-11-28;3875.832;GRTgaz
2021-12-19-1;2021-12-19;14510.218391999999;GRTgaz
2019-11-30-1;2019-11-30;3895.49;GRTgaz
2021-12-20-1;2021-12-20;14269.924022;GRTgaz
2019-12-01-1;2019-12-01;3908.6859999999997;GRTgaz
2018-01-12-1;2018-01-12;1491.862;GRTgaz
2019-12-13-1;2019-12-13;4003.6859999999997;GRTgaz
2018-01-15-1;2018-01-15;1368.4019999999998;GRTgaz
2019-12-22-1;2019-12-22;3916.0429999999997;GRTgaz
2018-01-16-1;2018-01-16;1391.19;GRTgaz
2019-12-25-1;2019-12-25;4059.791;GRTgaz
2018-01-22-1;2018-01-22;1367.116;GRTgaz
2020-01-07-1;2020-01-07;4082.0190000000002;GRTgaz
2018-01-26-1;2018-01-26;1417.469;GRTgaz
2020-01-10-1;2020-01-10;4222.219999999999;GRTgaz
2018-01-27-1;2018-01-27;1411.328;GRTgaz
2020-01-12-1;2020-01-12;4000.971;GRTgaz
2018-01-30-1;2018-01-30;1534.258;GRTgaz
2020-01-13-1;2020-01-13;3948.055;GRTgaz
2018-02-04-1;2018-02-04;1427.2740000000001;GRTgaz
2020-01-15-1;2020-01-15;4066.321;GRTgaz
2018-02-05-1;2018-02-05;1495.4340000000002;GRTgaz
2020-01-17-1;2020-01-17;4214.027;GRTgaz
2018-02-14-1;2018-02-14;1496.938;GRTgaz
2020-01-23-1;2020-01-23;4235.201;GRTgaz
2018-02-15-1;2018-02-15;1487.208;GRTgaz
2020-01-24-1;2020-01-24;4349.144;GRTgaz
2018-02-24-1;2018-02-24;1505.405;GRTgaz
2020-02-04-1;2020-02-04;4247.549;GRTgaz
2018-03-13-1;2018-03-13;1525.183;GRTgaz
2020-02-12-1;2020-02-12;4153.621;GRTgaz
2018-03-15-1;2018-03-15;1651.671;GRTgaz
2020-02-19-1;2020-02-19;4488.919;GRTgaz
2018-03-17-1;2018-03-17;1645.961;GRTgaz
2020-02-25-1;2020-02-25;4461.335;GRTgaz
2018-03-20-1;2018-03-20;1554.38;GRTgaz
2020-03-04-1;2020-03-04;4502.097;GRTgaz
2018-03-21-1;2018-03-21;1543.463;GRTgaz
2020-03-12-1;2020-03-12;4661.274494;GRTgaz
2018-03-26-1;2018-03-26;1545.837;GRTgaz
2020-03-17-1;2020-03-17;4666.314782;GRTgaz
2018-03-30-1;2018-03-30;1663.785;GRTgaz
2020-03-18-1;2020-03-18;4752.168474;GRTgaz
2018-04-17-1;2018-04-17;1740.096;GRTgaz
2020-03-25-1;2020-03-25;4805.10283;GRTgaz
2018-04-20-1;2018-04-20;1810.0700000000002;GRTgaz
2020-03-27-1;2020-03-27;4663.655263000001;GRTgaz
2018-04-21-1;2018-04-21;1728.799;GRTgaz
2020-03-31-1;2020-03-31;4620.2095;GRTgaz
2018-04-24-1;2018-04-24;1682.252;GRTgaz
2020-04-10-1;2020-04-10;4962.4;GRTgaz
2018-04-25-1;2018-04-25;1816.865;GRTgaz
2020-04-12-1;2020-04-12;4697.526;GRTgaz
2018-04-26-1;2018-04-26;1832.705;GRTgaz
2020-04-14-1;2020-04-14;4788.493977;GRTgaz
2018-05-01-1;2018-05-01;1709.5679999999998;GRTgaz
2020-04-18-1;2020-04-18;4783.219843;GRTgaz
2018-05-03-1;2018-05-03;1735.613;GRTgaz
2020-04-19-1;2020-04-19;4793.90171;GRTgaz
2018-05-05-1;2018-05-05;1751.442;GRTgaz
2020-04-20-1;2020-04-20;4894.423;GRTgaz
2018-05-07-1;2018-05-07;1684.206;GRTgaz
2020-04-22-1;2020-04-22;4919.63356;GRTgaz
2018-05-15-1;2018-05-15;1513.289;GRTgaz
2020-04-27-1;2020-04-27;4890.032;GRTgaz
2018-05-29-1;2018-05-29;1780.004;GRTgaz
2020-04-30-1;2020-04-30;4788.168000000001;GRTgaz
2018-06-06-1;2018-06-06;1576.5059999999999;GRTgaz
2020-05-08-1;2020-05-08;5008.946;GRTgaz
2018-06-08-1;2018-06-08;1714.646;GRTgaz
2020-05-09-1;2020-05-09;4824.339;GRTgaz
2018-06-10-1;2018-06-10;1645.31;GRTgaz
2020-05-12-1;2020-05-12;4585.354;GRTgaz
2018-06-15-1;2018-06-15;1725.722;GRTgaz
2020-05-14-1;2020-05-14;4754.508592;GRTgaz
2018-06-21-1;2018-06-21;1725.874;GRTgaz
2020-05-16-1;2020-05-16;4683.251;GRTgaz
2018-06-22-1;2018-06-22;1785.626;GRTgaz
2020-05-22-1;2020-05-22;4963.946315;GRTgaz
2018-06-24-1;2018-06-24;1692.8980000000001;GRTgaz
2020-05-26-1;2020-05-26;4797.611;GRTgaz
2018-07-02-1;2018-07-02;1616.511;GRTgaz
2020-05-31-1;2020-05-31;4803.1511900000005;GRTgaz
2018-07-06-1;2018-07-06;1808.1490000000001;GRTgaz
2020-06-01-1;2020-06-01;4926.814277;GRTgaz
2018-07-17-1;2018-07-17;1777.346;GRTgaz
2020-06-06-1;2020-06-06;5002.417511;GRTgaz
2018-07-18-1;2018-07-18;1856.705;GRTgaz
2020-06-08-1;2020-06-08;4863.120748;GRTgaz
2018-07-20-1;2018-07-20;1834.6799999999998;GRTgaz
2020-06-24-1;2020-06-24;4730.715641;GRTgaz
2018-07-22-1;2018-07-22;1626.942;GRTgaz
2020-06-29-1;2020-06-29;4967.10326;GRTgaz
2018-07-26-1;2018-07-26;1741.656;GRTgaz
2020-07-01-1;2020-07-01;5195.149176;GRTgaz
2018-08-01-1;2018-08-01;1702.972;GRTgaz
2020-07-04-1;2020-07-04;5094.987615999999;GRTgaz
2018-08-07-1;2018-08-07;1685.206;GRTgaz
2020-07-07-1;2020-07-07;5139.65612;GRTgaz
2018-08-16-1;2018-08-16;1714.183;GRTgaz
2020-07-10-1;2020-07-10;5105.958566;GRTgaz
2018-08-17-1;2018-08-17;1837.468;GRTgaz
2020-07-13-1;2020-07-13;5132.613429;GRTgaz
2018-08-18-1;2018-08-18;1832.432;GRTgaz
2020-07-19-1;2020-07-19;4926.187733;GRTgaz
2018-08-20-1;2018-08-20;1668.6789999999999;GRTgaz
2020-07-21-1;2020-07-21;5046.885695;GRTgaz
2018-08-24-1;2018-08-24;1831.4989999999998;GRTgaz
2020-07-29-1;2020-07-29;5274.433359;GRTgaz
2018-08-25-1;2018-08-25;1885.2079999999999;GRTgaz
